State,Murder,Assault,UrbanPop,Rape,Total
Alabama,13.2,236,58,21.2,328
Alaska,10,263,48,44.5,365
Arizona,8.1,294,80,31,413
Arkansas,8.8,190,50,19.5,268
California,9,276,91,40.6,416
Colorado,7.9,204,78,38.7,328
Connecticut,3.3,110,77,11.1,201
Delaware,5.9,238,72,15.8,331
Florida,15.4,335,80,31.9,462
Georgia,17.4,211,60,25.8,324
Hawaii,5.3,46,83,20.2,154
Idaho,2.6,120,54,14.2,190
Illinois,10.4,249,83,24,366
Indiana,7.2,113,65,21,206
Iowa,2.2,56,57,11.3,126
Kansas,6,115,66,18,205
Kentucky,9.7,109,52,16.3,187
Louisiana,15.4,249,66,22.2,352
Maine,2.1,83,51,7.8,143
Maryland,11.3,300,67,27.8,406
Massachusetts,4.4,149,85,16.3,254
Michigan,12.1,255,74,35.1,376
Minnesota,2.7,72,66,14.9,155
Mississippi,16.1,259,44,17.1,336
Missouri,9,178,70,28.2,285
Montana,6,109,53,16.4,184
Nebraska,4.3,102,62,16.5,184
Nevada,12.2,252,81,46,391
New Hampshire,2.1,57,56,9.5,124
New Jersey,7.4,159,89,18.8,274
New Mexico,11.4,285,70,32.1,398
New York,11.1,254,86,26.1,377
North Carolina,13,337,45,16.1,411
North Dakota,0.8,45,44,7.3,97
Ohio,7.3,120,75,21.4,223
Oklahoma,6.6,151,68,20,245
Oregon,4.9,159,67,29.3,260
Pennsylvania,6.3,106,72,14.9,199
Rhode Island,3.4,174,87,8.3,272
South Carolina,14.4,279,48,22.5,363
South Dakota,3.8,86,45,12.8,147
Tennessee,13.2,188,59,26.9,287
Texas,12.7,201,80,25.5,319
Utah,3.2,120,80,22.9,226
Vermont,2.2,48,32,11.2,93
Virginia,8.5,156,63,20.7,248
Washington,4,145,73,26.2,248
West Virginia,5.7,81,39,9.3,135
Wisconsin,2.6,53,66,10.8,132
Wyoming,6.8,161,60,15.6,243
